[Thread-1][epoch 21]	Val Loss: 169.89971998931563
[Thread-4][epoch 23]	Val Loss: 174.44348698216848
[Thread-0][epoch 22]	Val Loss: 186.80076511103493
[Thread-3][epoch 21]	Val Loss: 173.62669250643785
[Thread-2][epoch 23]	Val Loss: 169.37709656488758
[Thread-1][epoch 22]	Val Loss: 163.01497440989036
[Thread-4][epoch 24]	Val Loss: 173.28712776544236
[Thread-0][epoch 23]	Val Loss: 175.5713037914603
[Thread-3][epoch 22]	Val Loss: 160.9235238858982
[Thread-1][epoch 23]	Val Loss: 161.88477786822548
[Thread-2][epoch 24]	Val Loss: 160.69618862016762
[Thread-4][epoch 25]	Val Loss: 171.4951154524854
[Thread-1][epoch 24]	Val Loss: 155.4583332039557
[Thread-3][epoch 23]	Val Loss: 160.06918817483293
[Thread-0][epoch 24]	Val Loss: 173.93009082879766
[Thread-2][epoch 25]	Val Loss: 156.3733431824164
[Thread-4][epoch 26]	Val Loss: 158.98227112713414
[Thread-3][epoch 24]	Val Loss: 151.5306779437625
[Thread-0][epoch 25]	Val Loss: 171.38523454546922
[Thread-1][epoch 25]	Val Loss: 154.35423364993417
[Thread-2][epoch 26]	Val Loss: 155.47631854416798
[Thread-4][epoch 27]	Val Loss: 157.77442409791908
[Thread-2][epoch 27]	Val Loss: 154.26991348402098
[Thread-1][epoch 26]	Val Loss: 146.8919543262584
[Thread-0][epoch 26]	Val Loss: 168.90500535933154
[Thread-3][epoch 25]	Val Loss: 150.96294387308782
[Thread-4][epoch 28]	Val Loss: 155.01638919810105
[Thread-2][epoch 28]	Val Loss: 153.0947373295605
[Thread-0][epoch 27]	Val Loss: 159.44741625718726
[Thread-1][epoch 27]	Val Loss: 144.15656016532097
[Thread-4][epoch 29]	Val Loss: 153.06895469307145
[Thread-3][epoch 26]	Val Loss: 140.7741719200533
[Thread-2][epoch 29]	Val Loss: 147.46838880824458
[Thread-4][epoch 30]	Val Loss: 148.64757149933462
[Thread-0][epoch 28]	Val Loss: 149.55765915041226
[Thread-3][epoch 27]	Val Loss: 135.68728260943342
[Thread-1][epoch 28]	Val Loss: 144.20378522685334
[Thread-2][epoch 30]	Val Loss: 146.8627947222154
[Thread-4][epoch 31]	Val Loss: 143.44962781279335
[Thread-2][epoch 31]	Val Loss: 139.71769262283237
[Thread-0][epoch 29]	Val Loss: 139.5075874660947
[Thread-4][epoch 32]	Val Loss: 142.48698374585138
[Thread-3][epoch 28]	Val Loss: 134.84934448339197
[Thread-1][epoch 29]	Val Loss: 143.4358839152981
[Thread-2][epoch 32]	Val Loss: 134.53709908470475
[Thread-0][epoch 30]	Val Loss: 139.905012023313
[Thread-4][epoch 33]	Val Loss: 141.35525748202107
[Thread-3][epoch 29]	Val Loss: 128.67654682983098
[Thread-1][epoch 30]	Val Loss: 142.70881989358728
[Thread-2][epoch 33]	Val Loss: 125.03114118582032
[Thread-0][epoch 31]	Val Loss: 137.0824730875221
[Thread-3][epoch 30]	Val Loss: 128.93653242519576
[Thread-1][epoch 31]	Val Loss: 135.91082262186092
[Thread-4][epoch 34]	Val Loss: 131.12856479595405
[Thread-2][epoch 34]	Val Loss: 116.76367174573868
[Thread-0][epoch 32]	Val Loss: 133.30843547795115
[Thread-3][epoch 31]	Val Loss: 118.74655243654975[Thread-4][epoch 35]	Val Loss: 124.01227583605117
[Thread-1][epoch 32]	Val Loss: 129.44665026552562

[Thread-0][epoch 33]	Val Loss: 127.34121983805687
[Thread-3][epoch 32]	Val Loss: 118.01436225165075
[Thread-4][epoch 36]	Val Loss: 118.67961842413405
[Thread-2][epoch 35]	Val Loss: 114.11627959243417
[Thread-0][epoch 34]	Val Loss: 121.80239485605944
[Thread-1][epoch 33]	Val Loss: 124.6699921519316
[Thread-3][epoch 33]	Val Loss: 118.50719936212887
[Thread-4][epoch 37]	Val Loss: 114.85035565344435
[Thread-2][epoch 36]	Val Loss: 113.95027652486415
[Thread-0][epoch 35]	Val Loss: 121.94358049859666
[Thread-1][epoch 34]	Val Loss: 122.16636431187204
[Thread-4][epoch 38]	Val Loss: 108.04420714528028
[Thread-2][epoch 37]	Val Loss: 114.54005345008382
[Thread-3][epoch 34]	Val Loss: 116.61398805238171
[Thread-2][epoch 38]	Val Loss: 107.12683626426674
[Thread-1][epoch 35]	Val Loss: 121.58580750092182
[Thread-0][epoch 36]	Val Loss: 112.02656107509574
[Thread-4][epoch 39]	Val Loss: 102.85983550813917
[Thread-3][epoch 35]	Val Loss: 114.70996503850681
[Thread-1][epoch 36]	Val Loss: 112.12053769404828
[Thread-2][epoch 39]	Val Loss: 107.38702557539523
[Thread-4][epoch 40]	Val Loss: 99.14590314134504
[Thread-3][epoch 36]	Val Loss: 107.73210445021637
[Thread-0][epoch 37]	Val Loss: 112.2130608100378
[Thread-1][epoch 37]	Val Loss: 106.17974755682322
[Thread-2][epoch 40]	Val Loss: 102.79447361710724
[Thread-4][epoch 41]	Val Loss: 98.8751315771829
[Thread-3][epoch 37]	Val Loss: 100.23015704389161
[Thread-1][epoch 38]	Val Loss: 106.4644313502235
[Thread-0][epoch 38]	Val Loss: 113.29209922480261
[Thread-3][epoch 38]	Val Loss: 102.18431329256809
[Thread-4][epoch 42]	Val Loss: 100.46287695452166
[Thread-2][epoch 41]	Val Loss: 96.40884302694053
[Thread-0][epoch 39]	Val Loss: 108.6315381059266
[Thread-1][epoch 39]	Val Loss: 102.0338681895167
[Thread-3][epoch 39]	Val Loss: 95.61341949854005
[Thread-4][epoch 43]	Val Loss: 94.88328087582443
[Thread-1][epoch 40]	Val Loss: 97.22466194276224
[Thread-3][epoch 40]	Val Loss: 92.19335249120373
[Thread-0][epoch 40]	Val Loss: 109.81365347340399
[Thread-2][epoch 42]	Val Loss: 89.32394667556464
[Thread-4][epoch 44]	Val Loss: 94.47150572057978
[Thread-1][epoch 41]	Val Loss: 96.88136017331874
[Thread-0][epoch 41]	Val Loss: 110.53905089036851
[Thread-3][epoch 41]	Val Loss: 92.46331412880761
[Thread-2][epoch 43]	Val Loss: 83.91365762158144
